Sample,ID,Beaker,Beaker_mass,DM_sample_mass,Post_Dry_wbeaker,DM
E13_22-02-12,,10,23.3366,7.1802,29.5917,87.11595777
E13_22-02-14,,43,24.087,6.428,29.754,88.16116988
E13_22-02-17,,45,29.6492,12.3941,40.426,86.95104929
E13_22-02-18,,109,28.5418,9.2473,36.7482,88.74374142
E13_22-02-19,,53,29.065,9.8271,37.4869,85.70076625
E13_22-02-22,,20,22.4717,7.5516,29.0451,87.04645373
E13_22-02-23,,14,22.3328,7.3486,28.7425,87.22341671
E13_22-02-24,,103,29.3556,6.4257,34.6079,81.73895451
E13_22-03-12,,97,31.8328,6.3581,37.3319,86.48967459
E13_22-03-13,,136,29.0134,7.2286,35.2757,86.63226628
E13_22-03-14,,48R,29.2828,8.3545,36.501,86.39894668
E14_22-02-12,,34,23.3644,7.194,29.6873,87.8912983
E14_22-02-13,,29,21.8686,9.2542,30.0004,87.87145296
E14_22-02-16,,124,28.808,11.5251,39.0402,88.78187608
E14_22-02-17,,1,24.1645,8.2183,31.3658,87.62517796
E14_22-02-18,,3,22.0127,10.6425,31.3743,87.9642941
E14_22-02-21,,121,28.9335,8.0617,36.0408,88.16130593
E14_22-02-22,,134,29.2249,8.9012,37.0208,87.58257314
E14_22-02-23,,139,29.0526,10.0431,37.9725,88.81620217
E14_22-03-12,,108,29.0021,10.3008,38.1715,89.01638708
E14_22-03-13,,132,29.3562,9.9566,38.2887,89.71436032
E14_22-03-14,,4,23.1415,10.1663,32.0962,88.08219313
E15_22-02-12,,32,23.0999,8.426,30.539,88.28744363
E15_22-02-13,,175,31.3961,5.2404,35.9913,87.68796275
E15_22-02-16,,101,28.9458,8.24,36.2807,89.0157767
E15_22-02-17,,146,30.4558,9.5117,38.708,86.75841332
E15_22-02-18,,125,28.7019,10.9111,38.3435,88.36505943
E15_22-02-22,,5,23.0243,11.6561,33.2931,88.0980774
E15_22-02-23,,8,21.5601,8.9884,29.4676,87.97450047
E15_22-02-26,,100,29.3935,8.325,36.7508,88.37597598
E15_22-02-27,,147,30.3855,10.0616,39.2177,87.78126739
E15_22-02-28,,7,21.9169,9.3473,30.138,87.951601
E15_22-03-13,,70,29.5934,8.4811,36.9785,87.07714801
E15_22-03-14,,63,29.3132,9.9957,37.8425,85.32969177
E16_22-02-11,,189,28.861,6.3584,34.2951,85.46332411
E16_22-02-12,,26,22.3936,9.3415,30.6946,88.86153187
E16_22-02-13,,19,21.9145,5.9597,27.1675,88.14202057
E16_22-02-28,,136,29.0149,8.3955,36.3434,87.29081055
E16_22-03-01,,114,29.0374,5.9835,34.2143,86.51959555
E16_22-03-02,,109,28.5402,5.9603,33.7592,87.56270658
E16_22-03-05,,17,21.2528,6.6242,26.9981,86.73198273
E16_22-03-06,,62,29.3918,10.3578,38.4006,86.97599876
E16_22-03-07,,122,29.1669,9.7721,37.6892,87.21052793
E16_22-03-10,,466,31.6456,8.658,39.1841,87.06976207
E16_22-03-11,,52,28.9163,9.1635,36.8909,87.02569979
E16_22-03-12,,130,29.2212,11.3169,38.989,86.31162244
E1A_22-02-23,,48,29.2875,9.0776,37.4103,89.48180136
E1A_22-02-25,,152,30.3265,12.4175,41.2663,88.09985907
E1A_22-02-28,,120,30.8222,9.9706,39.597,88.00673982
E1A_22-03-01,,137,28.8541,12.5006,39.8925,88.30296146
E1A_22-03-02,,123,28.5224,10.9587,38.231,88.59262504
E1A_22-03-05,,97,31.8327,7.978,38.8667,88.16746052
E1A_22-03-06,,154,29.2162,11.2599,39.1383,88.11889981
E1A_22-03-07,,141,29.565,12.2823,40.5034,89.05823828
E1A_22-03-10,,131,28.9641,9.4517,37.2452,87.61492642
E1A_22-03-11,,144,30.8363,7.6361,37.6421,89.12664842
E2B_22-02-23,,53R,29.0661,6.7657,34.9442,86.88088446
E2B_22-02-28,,120,30.8185,6.1094,36.154,87.33263496
E2B_22-03-02,,51,28.7511,7.1234,34.9581,87.13535671
E2B_22-03-05,,18,22.4678,9.6409,30.9232,87.70343018
E2B_22-03-06,,117,28.6644,10.6598,38.0405,87.95756018
E2B_22-03-07,,153,28.731,11.9649,39.2503,87.91799346
E2B_22-03-10,,118A,29.412,8.7538,37.1691,88.6140876
E2B_22-03-11,,51,28.7513,10.2276,37.9867,90.29879933
E2B_22-03-12,,111,28.855,10.4051,37.8635,86.57773592
E3C_22-02-19,,45,29.2134,10.5064,38.5338,88.71164243
E3C_22-02-20,,70,29.5948,9.3049,37.7748,87.91067072
E3C_22-02-21,,138,28.9334,12.4165,39.9401,88.64575363
E3C_22-02-24,,107,28.6489,9.768,37.2888,88.4510647
E3C_22-02-25,,9,23.5807,9.5155,31.9815,88.28542904
E3C_22-02-26,,47,28.6161,9.0402,36.6652,89.03674697
E3C_22-03-01,,113,28.728,8.973,36.6596,88.3940711
E3C_22-03-02,,101,28.946,5.6167,33.8476,87.26832482
E3C_22-03-03,,63,29.3151,6.9571,35.421,87.76501703
E3C_22-03-06,,140,29.046,13.2941,40.7428,87.98489556
E3C_22-03-07,,150,32.022,10.7044,41.4592,88.16187736
E3C_22-03-08,,2,21.9455,9.513,30.2851,87.66530012
E4D_22-02-13,,47,28.6183,6.4824,34.3251,88.03529557
E4D_22-02-14,,46,21.1863,7.0059,27.3585,88.10002997
E4D_22-02-15,,149,29.0187,12.6871,40.1556,87.78128966
E4D_22-02-18,,148,29.0281,12.7297,40.2051,87.80254052
E4D_22-02-19,,110,28.8282,9.8383,37.551,88.66165903
E4D_22-02-20,,155,29.7475,10.3806,38.9366,88.52185808
E4D_22-02-23,,142,29.3082,12.42,40.4599,89.78824477
E4D_22-02-24,,46,22.9639,10.0487,31.7989,87.92182073
E4D_22-02-25,,115,28.7774,10.4954,37.986,87.73939059
E4D_22-03-12,,103,29.3555,8.7376,37.1878,89.63903131
E4D_22-03-13,,49,30.1564,7.0259,36.4703,89.86606698
E4D_22-03-14,,119,28.8539,8.1734,36.1017,88.67545942
E4D_23-02-12,1,36,23.3315,4.7452,27.4296,86.36306162
E4D_23-02-04,2,21,23.3689,5.8875,28.3728,84.99193206
E16_23-02-06,4,129,28.6323,5.3448,33.2304,86.02941176
E15_23-02-15,6,12,23.2192,4.0856,26.6059,82.89357744
E4D_23-02-14,7,11,22.4774,6.1417,27.7593,86.00061872
E3C_23-01-27,8,7,21.9188,4.221,25.3678,81.71049514
E13_23-02-14,9,1,24.1649,3.1098,26.8549,86.5007396
E16_23-02-05,14,17,21.2543,4.9313,25.4923,85.94082696
E13_23-02-17,15,34,23.2258,4.279,26.8962,85.77705071
E15_23-01-30,16,107,28.655,5.85,33.673,85.77777778
E14_23-01-28,17,2,21.9451,5.5373,,
E4D_23-02-19,19,168,29.5979,5.5418,34.3487,85.72665921
E14_23-01-27,20,13,23.295,4.223,26.8969,85.29244613
E14_23-01-26,25,140,29.0485,6.3232,34.4528,85.46780111
E1A_23-02-03,26,112,28.9627,6.2129,34.3559,86.80648328
E3C_23-02-07,27,145,29.2207,5.9884,34.3725,86.02965734
E16_23-01-26,33,144,30.8419,4.0866,34.3331,85.43043117
E2B_23-02-09,34,137,28.8612,6.0013,34.0359,86.22631763
E16_23-02-02,39,33,23.2814,4.5829,27.2137,85.80374872
E2B_23-02-13,44,158,29.2937,7.9853,36.1497,85.85776364
E16_23-01-28,53,105,31.6526,5.0468,35.921,84.57636522
E3C_23-02-08,59,165,28.6225,6.1063,33.8523,85.64597219
E3C_23-02-02,60,164,30.4608,5.1378,34.8683,85.78574487
E13_23-02-02,61,153,28.7368,4.7799,32.8876,86.83863679
E1A_23-02-09,62,132,29.357,6.6416,35.069,86.00337268
E14_23-02-01,63,23,24.3939,6.3609,29.8677,86.0538603
E4D_23-02-02,64,16,21.0582,4.9647,25.3205,85.85211594
E2B_23-02-02,66,167,28.9465,6.3151,34.37,85.88145873
E13_23-02-07,67,32,23.0987,5.3688,27.7345,86.34704217
E13_23-02-08,69,25,23.515,5.6835,28.4475,86.78631125
E1A_23-02-04,70,5,23.0243,2.4456,25.1323,86.19561662
E14_23-02-03,71,95,30.4205,5.4125,35.0669,85.84572748
E15_23-02-08,72,154,29.2237,5.9557,33.8752,78.10165052
E15_23-02-09,73,4,23.1438,2.9704,25.69,85.71909507
E15_23-02-04,74,10,23.227,5.1718,27.7074,86.63134692
E14_23-02-07,75,37,24.1526,5.2956,28.4124,80.44036559
E2B_23-02-03,76,162,29.3984,7.0251,35.4315,85.87920457
E1A_23-02-15,77,135,31.394,5.7839,36.376,86.13565241
E1A_23-01-31,78,143,29.1975,4.5153,33.0821,86.03193586
E3C_23-02-03,81,27,22.7059,4.6114,26.6768,86.11050874
E4D_23-02-03,82,152,30.3374,6.8185,36.146,85.18882452
E3C_23-02-13,83,20,22.4713,4.6784,26.5277,86.70485636
,83,22,21.6561,6.1678,26.7607,82.76208697
E3C_23-02-12,96,37,24.1523,4.1792,27.7651,86.44716692
E3C_23-02-18,97,123,28.5301,5.4642,33.2505,86.38776033
E15_23-01-29,98,32,23.0983,4.8772,27.1887,83.867793
E13_23-02-13,99,36,23.331,5.5898,28.1539,86.28036781
E13_23-02-19,100,133,28.3498,5.6207,33.1871,86.06223424
E16_23-01-31,101,126,29.035,5.0574,33.3765,85.84450508
E14_23-02-14,102,25,23.5148,5.0594,27.9039,86.75139345
E15_23-02-14,103,130,29.2279,5.8655,34.2928,86.35069474
E3C_23-02-17,104,15,21.615,3.0466,24.249,86.45703407
E13_23-02-12,105,11,22.4757,3.6779,25.6391,86.01103891
E4D_23-02-17,106,22,21.6564,4.9607,25.9386,86.32249481
E16_23-02-10,107,132,29.3555,2.9323,31.8795,86.07577669
E2B_23-02-19,108,108,29.0046,3.6783,32.1909,86.62425577
E2B_23-02-18,109,12,23.2172,3.078,25.8785,86.4619883
E2B_23-02-14,110,122,29.174,5.9385,34.2737,85.87522102
E14_23-02-12,111,101,28.9529,4.65,32.9788,86.57849462
E15_23-02-04,112,19,21.9147,3.0994,24.5779,85.92630832
E1A_23-01-30,113,133,28.3492,3.3973,31.2663,85.86524593
E16_23-02-07,115,10,23.2251,2.6114,25.4673,85.86198974
E3C_23-02-09,116,121,28.9367,6.8558,34.8484,86.22917821
E3C_23-02-14,117,33,23.2816,3.439,26.2483,86.2663565
E14_23-02-02,118,26,22.3916,5.752,27.3516,86.23087622
,118,118,29.4203,6.3716,34.8843,85.75554021
E2B_23-02-08,119,119,28.8636,5.8794,33.9217,86.03088751
E2B_23-02-12,120,24,24.2666,3.5422,27.3076,85.85060132
E4D_23-02-13,121,38,22.2919,6.0295,27.4718,85.90927938
E3C_23-02-04,122,30,21.0976,4.7829,25.1444,84.60975559
