Sample,ID,Total_wet,Beaker,Beaker_mass,DM_sample_mass,Post_Dry_wbeaker,DM,Total_DM
E13_22-02-22,,9.42,100,29.3936,4.7173,33.2996,82.80160261,7.799910966
E13_22-02-23,,18.96,191,27.996,7.6029,34.1798,81.33475384,15.42106933
E13_22-02-24,,12.17,,,,,,0
E13_22-03-12,,11.19,52,28.9163,4.9901,32.0579,62.95665418,7.044849602
E13_22-03-13,,14.82,23,24.3965,7.1827,30.3878,83.41292272,12.36179515
E13_22-03-14,,30.39,25,23.5169,5.5044,28.0706,82.72836276,25.14114944
E15_22-02-13,,15.43,110,28.8283,5.8718,33.5031,79.61442828,12.28450628
E15_22-03-12,,73.54,96,28.6929,8.8855,34.8968,69.82049406,51.34599133
E15_22-03-13,,14.51,118a,29.4129,7.2897,35.6107,85.02133147,12.3365952
E16_22-02-11,,50.78,,,,,,0
E16_22-02-13,,19.95,49,30.153,6.5298,35.3381,79.40671996,15.84164063
E16_22-03-01,,65.99,107,28.6492,6.0825,33.5857,81.15906289,53.5568656
E16_22-03-02,,11.82,16,21.0575,5.3102,25.3873,81.53741855,9.637722873
E16_22-03-05,,19.65,134,29.2235,8.2013,35.6652,78.54486484,15.43406594
E16_22-03-10,,16.92,121,28.9325,6.2855,33.1819,67.60639567,11.43900215
E2B_22-02-28,,9,10,28.559,5.1337,32.5672,78.07624131,7.026861718
E2B_22-02-23,,15.58,22,21.6575,6.4494,26.8703,80.82612336,12.59271002
E2B_22-02-24,,49.02,117,28.6655,7.7393,35.1092,83.25946791,40.81379117
E2B_22-03-02,,24.32,15,21.6176,6.6292,27.1423,83.33886442,20.26801183
E3C_22-03-02,,32.25,116,28.4956,6.9307,34.3235,84.08818734,27.11844042
E3C_22-03-03,,27.41,190,27.9884,7.3775,34.2593,85.00033887,23.29859288
E4D_23-02-04,3,24.75,115,28.786,5.4714,32.9803,76.65862485,18.97300965
E16_23-02-06,5,13.7,19,21.9164,3.466,24.7446,81.5983843,11.17897865
E14_23-01-28,18,16.5,169,28.8652,5.0999,33.0042,81.15845409,13.39114492
E3C_23-02-07,28,81.9,103,29.3585,6.1638,34.5135,83.63347286,68.49581427
E16_23-01-28,54,32.8,168,28.6967,4.2701,32.1768,81.49926231,26.73175804
E4D_23_02_02,65,41.7,136,28.9398,7.8631,35.471,83.061388,34.6365988
E1A_23-02-05,80,19.8,148,29.0344,4.1528,32.3855,80.6949528,15.97760065
E1A_23-01-30,114,16,17,21.2519,3.1664,23.7904,80.16990904,12.82718545
E3C_23-02-04,123,100.9,20,22.4707,3.4349,25.2661,81.38228187,82.11472241
E4D_23-02-09,132,33,35,21.734,3.1558,24.2231,78.87381963,26.02836048
E4D_23-02-07,138,55.2,39,23.2298,3.489,26.1173,82.76010318,45.68357696
E1A_23-01-29,142,34.8,34,23.2251,5.0617,27.4332,83.13610052,28.93136298
E4D_23-02-08,153,32.4,3,22.0137,2.777,24.2808,81.63845877,26.45086064
