Sample,Winter,Date,CP_AI_pred,NDF_AI_pred,ADF_AI_pred,ADL_AI_pred,CP_DM_pred,NDF_DM_pred,ADF_DM_pred,ADL_DM_pred,Beaker_mass,DM_sample_mass,Post_Dry_wbeaker,DM,CP_AI,C_AI,Fibre_bag_mass,Fiber_sample_mass,Fibre_bag_sample_mass,Post_NDF_wbag,NDF_AI,Post_ADF_wbag,ADF_AI,Post_ADL_wbag,ADL_AI,Carb_AI,Carb_DM,NDF_diet,ADF_diet,ADL_diet,C_diet,CP_diet,Carb_diet
A,2022,,5.3,60.2,36.1,23.7,6.3,71.79,43.06,28.23,28.5253,7.7021,35.451,0.899196323,5.873,43.95,0.4939,0.644,1.1328,0.8645,0.575465839,0.703,0.324689441,0.5209,0.041925466,0.365804161,0.406812341,63.99779711,36.10884883,4.66254863,48.87697923,6.531387918,38.10526984
A,2022,,5.3,60.2,36.1,23.7,6.3,71.79,43.06,28.23,28.5253,7.7021,35.451,0.890379955,5.873,43.95,0.555,0.5331,1.0843,0.8772,0.60438942,0.7482,0.362408554,0.5803,0.047458263,0.33688058,0.378355979,67.87994462,40.7026856,5.330113591,48.87697923,6.531387918,38.10526984
A,2022,,5.3,60.2,36.1,23.7,6.3,71.79,43.06,28.23,28.5253,7.7021,35.451,0.890379955,5.873,43.95,0.5847,0.6735,1.255,1.0028,0.620786934,0.8358,0.372828508,0.6152,0.04528582,0.320483066,0.359939669,69.72157565,41.87296734,5.086123074,48.87697923,6.531387918,38.10526984
A,2022,,5.3,60.2,36.1,23.7,6.3,71.79,43.06,28.23,28.5253,7.7021,35.451,0.890379955,5.873,43.95,0.5408,0.6105,1.1483,0.9036,0.594266994,0.7561,0.352661753,0.5682,0.044881245,0.347003006,0.389724638,66.74307872,39.60800675,5.040684556,48.87697923,6.531387918,38.10526984
A,2022,,5.3,60.2,36.1,23.7,6.3,71.79,43.06,28.23,28.5253,7.7021,35.451,0.890379955,5.873,43.95,0.5825,0.5312,1.1109,0.9073,0.611445783,0.7796,0.371046687,0.6064,0.04499247,0.329824217,0.370430865,68.67245603,41.67284817,5.053176414,48.87697923,6.531387918,38.10526984
A,2023,23-02-18,,,,,,,,,28.815,5.1961,33.3362,0.870114124,,,,,,,,,,,,,,,,,,,
A,2023,23-01-24,,,,,,,,,21.6168,4.3294,25.3744,0.867926272,,,,,,,,,,,,,,,,,,,
A,2023,23-02-01,,,,,,,,,24.1645,4.2641,27.881,0.871578997,,,,,,,,,,,,,,,,,,,
B,2022,,8.3,37.5,22.5,10.1,9.38,42.22,25.33,11.41,,,,0.890379955,7.688,43.23,0.4833,0.9214,0.13961,0.8398,0.386911222,0.6811,0.214673323,0.5092,0.028109399,0.536208778,0.602224674,,,,48.55230596,8.634516036,59.07285936
B,2022,,8.3,37.5,22.5,10.1,9.38,42.22,25.33,11.41,,,,0.890379955,7.688,43.23,0.563,0.6521,1.2092,0.8136,0.384296887,0.7089,0.22373869,0.5836,0.031590247,0.538823113,0.605160875,43.16099939,25.12845096,3.547951267,48.55230596,8.634516036,59.07285936
B,2022,,8.3,37.5,22.5,10.1,9.38,42.22,25.33,11.41,,,,0.890379955,7.688,43.23,0.5677,0.5992,1.1613,0.8005,0.388518024,0.7036,0.226802403,0.586,0.030540721,0.534601976,0.600420049,43.63508206,25.47254146,3.430077327,48.55230596,8.634516036,59.07285936
B,2022,,8.3,37.5,22.5,10.1,9.38,42.22,25.33,11.41,,,,0.890379955,7.688,43.23,0.5784,0.5883,1.1622,0.8186,0.408295088,0.7179,0.237123916,0.5978,0.032976373,0.514824912,0.578208111,45.85627577,26.63176715,3.703629267,48.55230596,8.634516036,59.07285936
B,2022,,8.3,37.5,22.5,10.1,9.38,42.22,25.33,11.41,,,,0.890379955,7.688,43.23,0.5641,0.7,1.2582,0.8565,0.417714286,0.7343,0.243142857,0.5876,0.033571429,0.505405714,0.567629259,46.91416101,27.30776404,3.770460957,48.55230596,8.634516036,59.07285936
B,2023,23-02-18,,,,,,,,,29.3153,5.8499,34.3598,0.862322433,,,,,,,,,,,,,,,,,,,
B,2023,23-01-24,,,,,,,,,28.87,5.6085,33.664,0.854774004,,,,,,,,,,,,,,,,,,,
B,2023,23-02-01,,,,,,,,,28.6312,5.515,33.3794,0.860961015,,,,,,,,,,,,,,,,,,,
C,2022,,11.7,32.4,19.5,7.7,12.98,35.95,21.63,8.57,28.8105,8.231,36.1072,0.886490098,11.05,43.65,0.4743,0.7258,1.1932,0.7099,0.32460733,0.6071,0.182970515,0.4934,0.026315789,0.56489267,0.637223891,36.61714106,20.63988257,2.968537327,49.23912867,12.46488824,61.29789328
C,2022,,11.7,32.4,19.5,7.7,12.98,35.95,21.63,8.57,28.8105,8.231,36.1072,0.890379955,11.05,43.65,0.5523,0.6049,1.1517,0.7646,0.350967102,0.6748,0.202512812,0.5713,0.03141015,0.538532898,0.60483493,39.41767782,22.74453854,3.527724345,49.23912867,12.46488824,61.29789328
C,2022,,11.7,32.4,19.5,7.7,12.98,35.95,21.63,8.57,28.8105,8.231,36.1072,0.890379955,11.05,43.65,0.5603,0.5149,1.0701,0.7408,0.350553506,0.6633,0.200038842,0.5745,0.027578171,0.538946494,0.605299447,39.37122613,22.46668306,3.097348538,49.23912867,12.46488824,61.29789328
C,2022,,11.7,32.4,19.5,7.7,12.98,35.95,21.63,8.57,28.8105,8.231,36.1072,0.890379955,11.05,43.65,0.5682,0.5817,1.1448,0.7779,0.360495101,0.6892,0.208011002,0.5855,0.029740416,0.529004899,0.594133882,40.48778261,23.3620491,3.340193796,49.23912867,12.46488824,61.29789328
C,2022,,11.7,32.4,19.5,7.7,12.98,35.95,21.63,8.57,28.8105,8.231,36.1072,0.890379955,11.05,43.65,0.5676,0.6052,1.1671,0.77,0.334434898,0.686,0.195637806,0.5847,0.028255122,0.555065102,0.623402514,37.56091943,21.97239556,3.173378075,49.23912867,12.46488824,61.29789328
C,2023,23-02-18,,,,,,,,,28.8582,6.4366,34.4251,0.864882081,,,,,,,,,,,,,,,,,,,
C,2023,23-01-24,,,,,,,,,28.76,6.1635,34.0534,0.85883021,,,,,,,,,,,,,,,,,,,
C,2023,23-02-01,,,,,,,,,29.0589,5.5233,33.833,0.864356454,,,,,,,,,,,,,,,,,,,
D,2022,,15,30,18,8.4,16.58,33.17,19.9,9.25,28.7037,8.7519,36.4531,0.885453444,14.83,42.9,0.4898,0.6419,1.122,0.7006,0.328400062,0.6099,0.187100795,0.5075,0.027574389,0.523299938,0.590996558,37.08834884,21.13050615,3.114154528,48.44975226,16.74848079,58.08034842
