Sample,ID,Beaker,Beaker_mass,DM_sample_mass,Post_Dry_wbeaker,DM
E14 22-02-09 A,,185,28.5992,5.7286,33.6869,88.81227525
E14 22-02-09 B,,128,28.4975,7.2075,34.947,89.48317725
E14 22-02-09 C,,35,21.7368,6.454,27.4309,88.22590641
E14 22-02-09 D,,24,24.2802,7.3385,30.7409,88.03842747
E15 22-03-10 A,,13,23.3096,5.8907,28.5397,88.78571307
E15 22-03-10 B,,12,23.2169,6.4477,28.9164,88.39586209
E15 22-03-10 C,,45,23.1664,7.8949,30.1456,88.40137304
E15 22-03-10 D,,27,22.7081,8.6712,30.3355,87.96245041
E15 22-02-09 A,,33,23.2838,5.9239,28.5599,89.06463647
E15 22-02-09 B,,113,28.7299,4.8348,32.993,88.17531232
E15 22-02-09 C,,112,28.9732,8.3942,36.4467,89.03171237
E15 22-02-09 D,,44,22.3364,6.1935,27.7984,88.18923065
E16 22-02-09 A,,                                                                                                                                            ,30.4168,6.7617,36.4152,88.71141873
E16 22-02-09 B,,28,23.2007,7.8287,30.1157,88.32884131
E16 22-02-09 D,,30,21.0979,8.7787,28.8534,88.3445157
E16 22-02-09 C,,11,22.4773,7.3172,29.957,102.2207948
E1A 22-02-21 A,,7,28.7514,5.8169,33.9021,88.5471643
E1A 22-02-21 B,,17,24.1528,7.2852,30.5648,88.01405589
E1A 22-02-21 C,,108,29.0015,5.7788,34.095,88.14113657
E2B 22-02-21 A,,31,23.2258,7.2683,29.667,88.6204477
E2B 22-02-21 B,,36,23.3325,7.6363,30.0604,88.10418658
E2B 22-02-21 C,,107,28.9393,6.7605,34.9056,88.2523482
E2B 22-02-21 D,,115,28.7787,8.0712,35.8862,88.06001586
E3C 22-02-17 A,,45,29.2155,6.503,34.962,88.36690758
E3C 22-02-17 B,,9,28.9597,6.0672,34.2919,87.88568038
E3C 22-02-17 C,,111,28.8571,7.6544,35.5736,87.74691681
E3C 22-02-17 D,,21,23.3699,7.2472,29.733,87.80080583
E3C 22-03-10 A,,119,28.8551,5.9118,34.1081,88.85618593
E3C 22-03-10 B,,174,31.2095,6.2946,36.7599,88.17716773
E3C 22-03-10 C,,62,29.3886,7.1869,35.7273,88.19797131
E3C 22-03-10 D,,99,29.2095,7.2985,35.6313,87.98794273
E15 23-01-27 A,21,98,32.489,5.0939,36.8986,86.56628516
E15 23-01-27 B,22,155,29.7575,6.1142,34.972,85.28507409
E15 23-01-27 C,23,163,29.2235,5.4099,33.8604,85.71138099
E15 23-01-27 D,24,110,28.8326,6.6335,34.5236,85.79181428
E14 23-01-24 A,35,5,23.0245,4.5338,26.9154,85.81984208
E14 23-01-24 B,36,109,28.5444,6.232,33.7824,84.05006418
E14 23-01-24 C,37,4,23.1443,4.0671,26.5092,82.73462664
E14 23-01-24 D,38,136,29.0164,5.9987,34.0624,84.11822562
E2B 23-01-31 A,40,156,28.9264,5.1486,33.3753,86.40989784
E2B 23-01-31 B,41,104,28.8171,5.1708,33.2631,85.98282664
E2B 23-01-31 C,42,29,21.8679,4.4974,25.7553,86.43660782
E2B 23-01-31 D,43,149,29.0238,5.7174,33.9258,85.73827264
E3C 23-01-31 A,45,146,30.463,4.5374,34.3842,86.41953542
E3C 23-01-31 B,46,125,28.709,4.9758,32.9986,86.20925278
E3C 23-01-31 C,47,30,21.0965,4.9497,25.3711,86.36078954
E3C 23-01-31 D,48,151,28.7586,5.8254,33.7666,85.96834552
E4D 23-01-24 A,49,160,28.7473,4.741,32.8511,86.55979751
E4D 23-01-24 B,50,14,22.3322,4.2022,25.9377,85.80029508
E4D 23-01-24 C,51,150,32.0273,6.3134,37.4536,85.94893401
E4D 23-01-24 D,52,157,29.0892,8.031,35.98,85.80251525
E3C 23-01-24 A,55,9,23.5822,4.5872,27.5412,86.30537147
E3C 23-01-24 B,56,161,29.003,5.2416,33.4639,85.10569292
E3C 23-01-24 C,57,31,23.3623,4.9429,27.6021,85.77555686
E3C 23-01-24 D,58,147,30.3934,6.4569,35.9221,85.62468057
E1A 23-01-27 A,84,18,22.4691,4.5233,26.385,86.57175071
E1A 23-01-27 B,85,35,21.7339,4.748,25.807,85.78559393
E1A 23-01-27 C,86,6,22.9643,5.1394,27.3635,85.59754057
E1A 23-01-27 D,87,141,29.571,5.6017,34.3901,86.02924112
E4D 23-01-31 A,88,114,29.0415,4.849,33.2041,85.84450402
E4D 23-01-31 B,89,96,28.9282,4.7814,33.0303,85.79286401
E4D 23-01-31 C,90,3,22.013,4.7511,25.9981,83.87741786
E4D 23-01-31 D,91,100,29.4021,5.5494,34.1398,85.3731935
E13 23-01-31 A,154,120,30.8258,5.2274,35.3528,86.60136971
E13 23-01-31 B,155,99,29.6891,6.2533,35.0631,85.93862441
E13 23-01-31 C,156,29,21.8678,6.1153,27.1405,86.22144457
E13 23-01-31 D,157,130,29.2264,3.2707,32.0353,85.88069832
E16 23-01-24 A,158,43,24.0845,6.1173,29.4005,86.90108381
E16 23-01-24 B,159,14,22.3294,3.2204,25.0909,85.75021736
E16 23-01-24 C,160,,,,,
E16 23-01-24 D,161,116,28.5046,5.1111,32.8938,85.87583886
