ID,Grid,Loc,Weight_g,Weight_kg,Enclosure,Start_date,Start_time,End_date,End_time,Diet,Offered,Leftover,Consumed,Consumed_weight
B6448,Jo,N4,1449.5,1.4495,E16,2022-02-08,7:35,2022-02-09,10:00,A,95.5,94.5,1,0.689893067
B6448,Jo,N4,1449.5,1.4495,E16,2022-02-08,7:35,2022-02-09,10:00,B,92,73.5,18.5,12.76302173
B6448,Jo,N4,1449.5,1.4495,E16,2022-02-08,7:35,2022-02-09,10:00,C,95,77.5,17.5,12.07312867
B6448,Jo,N4,1449.5,1.4495,E16,2022-02-08,7:35,2022-02-09,10:00,D,90,89,1,0.689893067
B6361,Jo,O11,1194.5,1.1945,E15,2022-02-08,7:35,2022-02-09,10:00,A,86.5,81.5,5,4.185851821
B6361,Jo,O11,1194.5,1.1945,E15,2022-02-08,7:35,2022-02-09,10:00,B,75.5,54,21.5,17.99916283
B6361,Jo,O11,1194.5,1.1945,E15,2022-02-08,7:35,2022-02-09,10:00,C,95.5,34,61.5,51.4859774
B6361,Jo,O11,1194.5,1.1945,E15,2022-02-08,7:35,2022-02-09,10:00,D,90,74,16,13.39472583
B6351,Jo,N6,1350,1.35,E14,2022-02-08,7:35,2022-02-09,10:00,A,90.5,50.5,40,29.62962963
B6351,Jo,N6,1350,1.35,E14,2022-02-08,7:35,2022-02-09,10:00,B,78,60,18,13.33333333
B6351,Jo,N6,1350,1.35,E14,2022-02-08,7:35,2022-02-09,10:00,C,93,84.5,8.5,6.296296296
B6351,Jo,N6,1350,1.35,E14,2022-02-08,7:35,2022-02-09,10:00,D,98,92,6,4.444444444
B6623,Jo,A5,1364,1.364,E3C,2022-02-16,7:45,2022-02-17,12:45,A,70,55,15,10.99706745
B6623,Jo,A5,1364,1.364,E3C,2022-02-16,7:45,2022-02-17,12:45,B,68.5,46,22.5,16.49560117
B6623,Jo,A5,1364,1.364,E3C,2022-02-16,7:45,2022-02-17,12:45,C,79,61.5,17.5,12.82991202
B6623,Jo,A5,1364,1.364,E3C,2022-02-16,7:45,2022-02-17,12:45,D,85.5,54,31.5,23.09384164
B6617,Jo,B12,1333.5,1.3335,E2B,2022-02-20,7:45,2022-02-21,11:00,A,70.5,42,28.5,21.37232846
B6617,Jo,B12,1333.5,1.3335,E2B,2022-02-20,7:45,2022-02-21,11:00,B,84.5,75.5,9,6.749156355
B6617,Jo,B12,1333.5,1.3335,E2B,2022-02-20,7:45,2022-02-21,11:00,C,78,70.5,7.5,5.624296963
B6617,Jo,B12,1333.5,1.3335,E2B,2022-02-20,7:45,2022-02-21,11:00,D,64,17.5,46.5,34.87064117
B6618,Jo,T20,1271,1.271,E1A,2022-02-20,7:45,2022-02-21,11:00,A,76.5,76,0.5,0.393391031
B6618,Jo,T20,1271,1.271,E1A,2022-02-20,7:45,2022-02-21,11:00,B,88,17,71,55.86152636
B6618,Jo,T20,1271,1.271,E1A,2022-02-20,7:45,2022-02-21,11:00,C,87.5,85,2.5,1.966955153
B6618,Jo,T20,1271,1.271,E1A,2022-02-20,7:45,2022-02-21,11:00,D,81,81,0,0
