Sample,ID,Total_dried,Beaker,Beaker_mass,DM_sample_mass,Post_Dry_wbeaker,Post_Ash_wbeaker,DM,Ash,Fibre_bag_mass,Fiber_sample_mass,Fibre_bag_sample_mass,Post_NDF_wbag,NDF_AI,Post_ADF_wbag,ADF_AI,Post_ADL_wbag,ADL_AI,CP_sample_mass,"CP_Tray,Loc",CP_AI,C_AI,NDF_F,ADF_F,ADL_F,CP_F,C_F
E15_22-03-13,1,38.05,,30.4129,5.1967,35.2897,30.7224,0.938441703,0.059557027,0.5151,0.5881,1.1018,0.9638,0.762965482,0.7676,0.42934875,0.559,0.074647169,0.1043,"1,A1",8.76,47.07,81.30131891,45.75124365,7.954374638,9.334623524,50.1576175
E3C_22-02-20,2,39.48,,28.6875,5.2914,33.6225,28.9996,0.932645425,0.0589825,0.4952,0.5053,0.9977,0.863,0.727884425,0.6986,0.402533149,0.5288,0.066495151,0.1024,"1,A2",9.549,47.29,78.04513976,43.16036277,7.129735443,10.23861775,50.70522918
E2B_22-03-07,3,42.5,,31.832,4.9034,36.4436,32.1437,0.940490272,0.063568136,0.496,0.6144,1.1077,0.9637,0.761230469,0.7545,0.420735677,0.5368,0.06640625,0.1065,"1,A3",8.674,47.06,80.93974934,44.73578192,7.060812001,9.22284925,50.03773181
E1A_22-03-10,5,63.89,,29.3943,5.7967,34.924,29.7147,0.95393931,0.055272828,0.5033,0.4885,0.9923,0.9011,0.81432958,0.7471,0.499078813,0.5462,0.087819857,0.1128,"1,A5",4.369,47.83,85.36492537,52.3176692,9.206021364,4.579955929,50.13945802
E3C_22-03-03,6,108.16,,28.9477,5.8361,34.4488,29.2515,0.942598653,0.052055311,0.5052,0.5955,1.0992,0.9881,0.810915197,0.7808,0.462804366,0.5443,0.06565911,0.1078,"1,A6",4.904,47.13,86.02974283,49.09877226,6.9657547,5.202638454,50.00007144
E15_22-02-21,7,51.91,,28.9395,6.8917,35.3709,29.3656,0.933209513,0.061827996,0.4918,0.5521,1.0417,0.9016,0.742256838,0.731,0.433254845,0.5384,0.084404999,0.1044,"1,A7",8.221,47.46,79.53807021,46.42632112,9.044592659,8.80938298,50.8567469
E14_22-03-12,8,55.21,,28.9993,6.9447,35.5745,29.4064,0.946793958,0.058620243,0.488,0.5122,1.004,0.871,0.747754783,0.7179,0.448848106,0.5317,0.085318235,0.1116,"1,A8",8.508,47.71,78.9775618,47.40715785,9.011277939,8.986115647,50.3911116
E4D_22-02-19,9,31.59,,28.5383,5.6037,33.7391,28.8794,0.928101076,0.060870496,0.4835,0.4708,0.9493,0.8495,0.77740017,0.6979,0.455395072,0.5259,0.090059473,0.097,"1,A9",8.8,47.38,83.76244678,49.06740052,9.703627715,9.481725888,51.05047416
E1A_22-03-12,10,74.84,,28.8282,6.1328,34.7014,29.1699,0.957670232,0.055716801,0.5033,0.5609,1.0668,0.956,0.807095739,0.7674,0.470850419,0.5436,0.071848814,0.0994,"1,A10",4.277,47.86,84.27699973,49.16623731,7.502458779,4.466046721,49.97544916
E15_22-03-14,11,37.65,,28.8551,7.1862,35.6559,29.3076,0.94636943,0.062967911,0.5032,0.5361,1.0389,0.9095,0.757880992,0.7269,0.417272897,0.5396,0.06789778,0.0949,"1,B1",8.201,47.74,80.08299593,44.09196699,7.174553413,8.665749059,50.44541642
E16_22-02-12,12,46.63,,28.9737,6.5135,35.0812,29.38,0.93766792,0.062378138,0.4915,0.6414,1.1299,0.967,0.741347053,0.7522,0.40645463,0.5367,0.070470845,0.1159,"1,B2",7.986,47.12,79.06285766,43.34739641,7.515543988,8.516874499,50.25233238
E4D_22-02-15,13,43.83,,28.7305,5.7594,34.1852,29.0514,0.947095184,0.055717609,0.487,0.4732,0.9596,0.849,0.765004227,0.7018,0.453930685,0.5245,0.079247675,0.1045,"1,B3",5.493,48.1,80.77374269,47.92872909,8.36744572,5.799839441,50.78687004
E13_22-03-14,14,45.1,,29.0399,6.9612,35.658,29.5265,0.950712521,0.069901741,0.5083,0.5115,1.022,0.9098,0.784946237,0.7355,0.444183773,0.5486,0.078787879,0.1155,"1,B4",6.66,47.09,82.56399483,46.72114477,8.287245309,7.005272208,49.53127151
E16_22-02-13,15,39.85,,28.7807,6.4849,34.9094,29.1825,0.945072399,0.061959321,0.4976,0.5309,1.0284,0.8942,0.74703334,0.7223,0.423243549,0.5365,0.073271803,0.0915,"1,B5",8.474,48.1,79.04509119,44.78424607,7.753035924,8.966508819,50.89557165
E14_22-02-16,16,51.09,,28.4995,6.0852,34.1428,28.8674,0.927381187,0.060458161,0.4984,0.4777,0.973,0.8292,0.692484823,0.7082,0.439187775,0.5512,0.110529621,0.0942,"1,B6",12.2,48.44,74.67100182,47.35784819,11.91846704,13.15532401,52.23310616
E3C_22-03-08,17,59.54,,28.6703,6.0707,34.3703,28.9738,0.938936202,0.049994235,0.4855,0.5378,1.0215,0.902,0.774451469,0.7201,0.436221644,0.5227,0.069170695,0.1035,"1,B7",6.422,48.05,82.48179882,46.45913566,7.366921767,6.839655333,51.17493596
E1A_22-02-23,18,45.25,,29.4193,6.6885,35.7088,29.9473,0.940345369,0.078941467,0.4838,0.7299,1.2119,1.014,0.726400877,0.7966,0.428551856,0.5526,0.094259488,0.1038,"1,B8",9.422,47.3,77.24830694,45.57387855,10.02392214,10.01972287,50.30066778
E1A_22-03-05,19,46.56,,28.8627,5.3385,33.8358,29.1312,0.931553807,0.050295027,0.4855,0.5157,0.9966,0.8764,0.757998837,0.7175,0.449873958,0.5372,0.100252085,0.0951,"1,B9",6.958,48.9,81.36930262,48.29285804,10.76181362,7.469241117,52.49294203
E13_22-02-22,20,43.38,,30.8269,5.5766,36.1185,31.1344,0.948893591,0.055141125,0.4947,0.5356,1.0216,0.8962,0.749626587,0.7317,0.442494399,0.5484,0.100261389,0.1017,"1,B10",7.49,48.89,79.00006851,46.63266808,10.56613619,7.893403507,51.52316388
E3C_22-02-19,21,42.49,,28.9387,5.4266,34.0395,29.2844,0.939962407,0.063704714,0.4912,0.533,1.0227,0.8752,0.720450281,0.7283,0.444840525,0.5391,0.089868668,0.0953,"1,C1",8.718,48.43,76.64671223,47.32535278,9.560878947,9.274839006,51.52333712
E4D_22-03-13,22,80.65,,29.1675,5.899,34.7666,29.4755,0.949160875,0.052212239,0.4969,0.4753,0.9718,0.8943,0.836103514,0.7257,0.481380181,0.5313,0.072375342,0.0899,"1,C2",3.942,47.77,88.08870402,50.71639527,7.625192295,4.153142112,50.32866532
E13_22-02-19,23,60.37,,28.5239,6.0196,34.1467,28.8245,0.934081999,0.049936873,0.4942,0.579,1.0697,0.9501,0.787392055,0.756,0.452158895,0.5396,0.078411054,0.095,"1,C3",5.721,47.94,84.29581731,48.40676677,8.39445077,6.124729957,51.32311731
E1A_22-02-28,24,41.46,,28.8112,6.2906,34.6526,29.1528,0.928591867,0.054303246,0.493,0.5331,1.0209,0.8776,0.72144063,0.7193,0.424498218,0.5408,0.089664228,0.1003,"1,C4",8.157,48.35,77.69189627,45.7141865,9.655935106,8.784268189,52.06808471
E13_22-03-13,25,46.75,,28.7053,6.1524,34.5356,29.0745,0.947646447,0.060009102,0.4938,0.5346,1.0284,0.9348,0.824915825,0.7535,0.485783764,0.5441,0.094089039,0.0982,"1,C5",5.854,48.1,87.04890179,51.26213106,9.928706939,6.177409327,50.75732638
E2B_22-03-11,26,37.33,,29.0313,6.1026,34.6778,29.3539,0.925261364,0.052862714,0.4965,0.5616,1.0499,0.9242,0.761574074,0.7473,0.446581197,0.5395,0.076566952,0.0919,"1,C6",6.318,47.59,82.30907544,48.26541061,8.275170081,6.828340884,51.43411565
E4D_22-03-14,27,103.08,,28.8165,5.9174,34.4818,29.1338,0.95739683,0.053621523,0.5031,0.5488,1.0544,0.9423,0.800291545,0.7481,0.446428571,0.5419,0.070699708,0.0951,"1,C7",4.062,48.16,83.59036926,46.62941819,7.384577248,4.242754806,50.30307027
E14_22-03-13,28,59.55,,28.5001,6.4785,34.4602,28.856,0.919981477,0.054935556,0.5018,0.5821,1.0755,0.9231,0.723758804,0.7431,0.414533585,0.5414,0.068029548,0.0933,"1,C8",8.298,47.11,78.67101917,45.05890559,7.394664988,9.019746816,51.20755273
E15_22-02-18,29,54.45,,29.2219,5.526,34.3987,29.5328,0.936807818,0.05626131,0.5099,0.5306,1.038,0.9224,0.777421787,0.7457,0.444402563,0.55,0.075574821,0.0992,"1,C9",6.085,47.82,82.98626165,47.43796484,8.067270526,6.495462448,51.04568846
E15_22-02-28,30,53.54,,28.9599,6.104,34.656,29.3253,0.933174967,0.059862385,0.4948,0.491,0.9831,0.8603,0.744399185,0.7082,0.434623218,0.535,0.081873727,0.0913,"1,C10",7.364,47.53,79.77059088,46.57467605,8.773673744,7.891338986,50.93364232
E1A_22-02-24,31,35.76,,29.3521,6.2569,35.2644,29.7745,0.944924803,0.06750947,0.5323,0.5975,1.1297,0.9834,0.754979079,0.7824,0.418577406,0.5766,0.074142259,0.1067,"1,D1",9.089,47.44,79.89832388,44.29743028,7.8463661,9.618754816,50.20505319
E3C_22-03-07,32,60.76,,29.2222,5.3112,34.3208,29.4948,0.959971381,0.051325501,0.5263,0.4991,1.0281,0.927,0.802845121,0.7558,0.45982769,0.559,0.065517932,0.0984,"1,D2",6.25,48.87,83.6321933,47.90014565,6.824988073,6.510610756,50.90776762
E2B_22-02-25,33,47.76,,29.0132,6.5598,35.2697,29.4264,0.953763834,0.062989725,0.5285,0.4774,1.0053,0.8958,0.769375786,0.7598,0.484499372,0.5683,0.083368245,0.095,"1,D3",8.983,48.2,80.66732642,50.79867302,8.740973568,9.418474131,50.53661952
E14_22-03-14,34,51.47,,28.8558,5.4343,34.4628,29.1978,1.031779622,0.062933589,0.5361,0.5027,1.036,0.9286,0.780783768,0.7633,0.451959419,0.5767,0.080763875,0.0968,"1,D4",7.497,48.27,75.67350149,43.80387144,7.827628434,7.266086517,46.78324612
E13_22-03-12,35,47.52,,28.6276,6.0725,34.4132,28.9833,0.95275422,0.058575545,0.5252,0.5012,1.0262,0.9407,0.829010375,0.7888,0.525937749,0.579,0.107342378,0.1049,"1,D5",6.006,48.01,87.0119867,55.20182839,11.26653402,6.303829335,50.39075031
E4D_22-02-23,36,44.83,,28.9348,6.6898,35.1299,29.3327,0.926051601,0.059478609,0.515,0.6139,1.1188,0.9909,0.775207689,0.8086,0.478253787,0.5837,0.111907477,0.0992,"1,D6",7.976,48.09,83.71106834,51.64439938,12.08436729,8.612910978,51.93015157
E4D_22-02-24,37,39.98,,29.0544,6.2114,34.8993,29.4531,0.940995589,0.064188428,0.5219,0.5581,1.0767,0.9659,0.795556352,0.7809,0.464074539,0.573,0.091560652,0.1003,"1,D7",7.567,47.8,84.54411066,49.31739789,9.730189313,8.041482968,50.79726257
E2B_22-03-10,38,40.68,,29.045,5.91,34.6031,29.3451,0.940456853,0.050778342,0.5297,0.5194,1.0459,0.9262,0.763380824,0.7667,0.456295726,0.568,0.07373893,0.1,"1,D8",6.816,48.26,81.17127562,48.51851783,7.840756257,7.247541426,51.31548551
E4D_22-02-13,39,44.65,,29.5654,5.9717,35.1712,29.8802,0.938727665,0.052715307,0.5213,0.5269,1.0442,0.9185,0.753843234,0.7737,0.479028279,0.5727,0.097551718,0.1054,"1,D9",7.242,48.34,80.30478505,51.02952605,10.39190824,7.714697528,51.49523315
E15_22-02-26,40,46.76,,29.3087,6.4069,35.3166,29.6919,0.937723392,0.059810517,0.5124,0.5141,1.0224,0.891,0.736432601,0.746,0.454386306,0.5581,0.088893211,0.0988,"1,D10",8.636,48.01,78.53409726,48.45632625,9.479683689,9.209538841,51.19846685
