ID,Grid,Loc,Weight_start,Enclosure,Start_date,Start_time,End_date,End_time,Diet,Offer_wet,End_wet
B6448,Jo,N4,1449.5,E16,2/8/2022,7:35,2/9/2022,10:00,A,95.5,94.5
B6448,Jo,N4,1449.5,E16,2/8/2022,7:35,2/9/2022,10:00,B,92,73.5
B6448,Jo,N4,1449.5,E16,2/8/2022,7:35,2/9/2022,10:00,C,95,77.5
B6448,Jo,N4,1449.5,E16,2/8/2022,7:35,2/9/2022,10:00,D,90,89
B6361,Jo,O11,1194.5,E15,2/8/2022,7:35,2/9/2022,10:00,A,86.5,81.5
B6361,Jo,O11,1194.5,E15,2/8/2022,7:35,2/9/2022,10:00,B,75.5,54
B6361,Jo,O11,1194.5,E15,2/8/2022,7:35,2/9/2022,10:00,C,95.5,34
B6361,Jo,O11,1194.5,E15,2/8/2022,7:35,2/9/2022,10:00,D,90,74
B6351,Jo,N6,1350,E14,2/8/2022,7:35,2/9/2022,10:00,A,90.5,50.5
B6351,Jo,N6,1350,E14,2/8/2022,7:35,2/9/2022,10:00,B,78,60
B6351,Jo,N6,1350,E14,2/8/2022,7:35,2/9/2022,10:00,C,93,84.5
B6351,Jo,N6,1350,E14,2/8/2022,7:35,2/9/2022,10:00,D,98,92
B6623,Jo,A5,1364,E3C,2/16/2022,7:45,2/17/2022,12:45,A,70,55
B6623,Jo,A5,1364,E3C,2/16/2022,7:45,2/17/2022,12:45,B,68.5,46
B6623,Jo,A5,1364,E3C,2/16/2022,7:45,2/17/2022,12:45,C,79,61.5
B6623,Jo,A5,1364,E3C,2/16/2022,7:45,2/17/2022,12:45,D,85.5,54
B6617,Jo,B12,1333.5,E2B,2/20/2022,7:45,2/21/2022,11:00,A,70.5,42
B6617,Jo,B12,1333.5,E2B,2/20/2022,7:45,2/21/2022,11:00,B,84.5,75.5
B6617,Jo,B12,1333.5,E2B,2/20/2022,7:45,2/21/2022,11:00,C,78,70.5
B6617,Jo,B12,1333.5,E2B,2/20/2022,7:45,2/21/2022,11:00,D,64,17.5
B6618,Jo,T20,1271,E1A,2/20/2022,7:45,2/21/2022,11:00,A,76.5,76
B6618,Jo,T20,1271,E1A,2/20/2022,7:45,2/21/2022,11:00,B,88,17
B6618,Jo,T20,1271,E1A,2/20/2022,7:45,2/21/2022,11:00,C,87.5,85
B6618,Jo,T20,1271,E1A,2/20/2022,7:45,2/21/2022,11:00,D,81,81
B6619,Rolo,B2,1299,E15,3/9/2022,13:00,3/10/2022,11:30,A,88,86.5
B6619,Rolo,B2,1299,E15,3/9/2022,13:00,3/10/2022,11:30,B,87,78
B6619,Rolo,B2,1299,E15,3/9/2022,13:00,3/10/2022,11:30,C,78.5,43.5
B6619,Rolo,B2,1299,E15,3/9/2022,13:00,3/10/2022,11:30,D,75.5,22
B6384,Jo,3C,1263,E3C,3/9/2022,13:00,3/10/2022,11:30,A,95,95
B6384,Jo,3C,1263,E3C,3/9/2022,13:00,3/10/2022,11:30,B,77.5,61.5
B6384,Jo,3C,1263,E3C,3/9/2022,13:00,3/10/2022,11:30,C,90,72.5
B6384,Jo,3C,1263,E3C,3/9/2022,13:00,3/10/2022,11:30,D,92.5,92
B6784,Rolo,F6,1187.5,E16,1/23/2023,12:00,1/24/2023,12:00,A,92.5,86
B6784,Rolo,F6,1187.5,E16,1/23/2023,12:00,1/24/2023,12:00,B,94.5,40.5
B6784,Rolo,F6,1187.5,E16,1/23/2023,12:00,1/24/2023,12:00,C,92.5,73
B6784,Rolo,F6,1187.5,E16,1/23/2023,12:00,1/24/2023,12:00,D,93.5,93.5
