Diet,ID,Trial,Enclosure,Date_start,Date_end,Weight_start,Weight_end,D1offer_wet,D1end_wet,D2offer_wet,D2end_wet,D3offer_wet,D3end_wet
D,B63448,1,E16,2/10/2022,2/13/2022,1387.5,1336,251.5,118.5,259.5,125.5,230,110.5
A,B63448,2,E16,2/27/2022,3/2/2022,1394,1334,304.5,160.5,307,147,311,104.5
B,B63448,3,E16,3/4/2022,3/7/2022,1345,1329,314.5,160,319.5,207.5,305,179
C,B63448,4,E16,3/9/2022,3/12/2022,1321,1317,307,181.5,307,159.5,337,208.5
A,B6361,1,E15,2/10/2022,2/13/2022,1322,1284.5,276.5,164.5,240,107,228.5,36.5
B,B6361,2,E15,2/15/2022,2/18/2022,1218.5,1211.5,277,163.5,295.5,170,297,169.5
D,B6361,3,E15,2/20/2022,2/23/2022,1219,1258,300,152.5,313,198.5,289.5,169.5
C,B6361,4,E15,2/25/2022,2/28/2022,1275,1295.5,285.5,173.5,303.5,197,292.5,164
B,B6351,1,E14,2/10/2022,2/13/2022,1308,1248,277.5,172,274.5,133,238,110
D,B6351,2,E14,2/15/2022,2/18/2022,1263.5,1245,288.5,180.5,309,190.5,297,190
A,B6351,3,E14,2/20/2022,2/23/2022,1260,1217.5,285,171.5,312,202,285,159.5
C,B6351,4,E14,3/11/2022,3/14/2022,1328,1310,300.5,160,312.5,178.5,312,187
A,30821,1,E13,2/11/2022,2/14/2022,1207,1121,269.5,156,265,77,298,184.5
B,30821,2,E13,2/16/2022,2/19/2022,1188,1195,290,189,302,167,292.5,165.5
C,30821,3,E13,2/21/2022,2/24/2022,1171,1156,308,198,283.5,195,290,233
D,30821,4,E13,3/11/2022,3/14/2022,1232,1252,336,203.5,321,178,310,155
B,B6347,1,E4D,2/12/2022,2/15/2022,1443,1484,262,150.5,293,152,267,151
C,B6347,2,E4D,2/17/2022,2/20/2022,1463.5,1399,294.5,202,293,211,293.5,210.5
D,B6347,3,E4D,2/22/2022,2/25/2022,1420,1413,290.5,175.5,317.5,196,300.5,182.5
A,B6347,4,E4D,3/11/2022,3/14/2022,1482,1422,318.5,169.5,328.5,212,322,135.4
C,B6623,1,E3C,2/18/2022,2/21/2022,1315,1327,269.5,179.5,274,169.5,266.5,158
D,B6623,2,E3C,2/23/2022,2/26/2022,1309,1317,292,195,307,204,302.5,188
A,B6623,3,E3C,2/28/2022,3/3/2022,1317,1311,344.5,228,309,136,328.5,134.5
B,B6623,4,E3C,3/5/2022,3/8/2022,1330,1336,293.5,155.5,298,159.5,296,163
C,B6617,1,E2B,2/22/2022,2/25/2022,1300,1317,291.5,163.5,302.5,177.5,290.5,172.5
A,B6617,2,E2B,2/27/2022,3/2/2022,1290,1222,302.5,190,334.5,234.5,313.5,144
D,B6617,3,E2B,3/4/2022,3/7/2022,1283,1256,310.5,172,310.5,205.5,317,210.5
B,B6617,4,E2B,3/9/2022,3/12/2022,1270,1215.5,304.5,220.5,323.5,238,310,222.5
D,B6618,1,E1A,2/22/2022,2/25/2022,1290,1252,282,153.5,309,214,301.5,216
C,B6618,2,E1A,2/27/2022,3/2/2022,1249,1245,311.5,214.5,307.5,200,307,206.5
B,B6618,3,E1A,3/4/2022,3/7/2022,1254,1270,318,212.5,315,208.5,302.5,202
A,B6618,4,E1A,3/9/2022,3/12/2022,1253,1200,312.5,210.5,318.5,214.5,322,212.5
D,B6619,1,E15,3/11/2022,3/14/2022,1336,1277,309,168,311.5,194.5,348,246
A,B6784,1,E16,1/23/2023,1/25/2023,1256,1186,284,122,283.5,1076,286.5,66
D,B6784,2,E16,1/30/2023,2/2/2023,1232,1193,332,216,283,171.5,285,195
B,B6784,3,E16,2/4/2023,2/7/2023,1208,1163,283.5,179,272.5,177.5,300,178.5
C,B6784,4,E16,2/9/2023,2/12/2023,1208,1185,289.5,150.5,282,140,283.5,154
D,B6785,1,E14,1/25/2023,1/28/2023,1307,1275,299.5,176,276,164,282,158
C,B6785,2,E14,1/31/2023,2/3/2023,1285,1335,289.5,176,281.5,164.5,283.5,155.5
B,B6785,3,E14,2/5/2023,2/8/2023,1275,1306,287,183,299,172,294,158.5
A,B6785,4,E14,2/11/2023,2/14/2023,1282,1251,300.5,186,321,174,318.5,242
B,B6787,1,E15,1/28/2023,1/31/2023,1251,1285,273,130.5,297.5,128.5,312.5,161.5
A,B6787,2,E15,2/2/2023,2/5/2023,1260,1174,345,177,314,123,292,
D,B6787,3,E15,2/7/2023,2/10/2023,1262,1260,270,105,293,128,299,138
C,B6787,4,E15,2/12/2023,2/15/2023,1279,1248,316.5,,303.5,132.5,313.5,
C,B6667,1,E1A,1/28/2023,1/31/2023,1349,1339,283,161,292,186.5,277.5,158.5
A,B6667,2,E1A,2/2/2023,2/5/2023,1334,1306,290,137.5,349,175.5,314,109.5
B,B6667,3,E1A,2/7/2023,2/10/2023,1306,1347,260.5,106.5,261,114,288,144
D,B6667,4,E1A,2/12/2023,2/15/2023,1371,1358,301.5,174.5,290.5,173,274,171
C,B6679,1,E2B,2/1/2023,2/4/2023,1330,1370,266,158,294.5,145.5,305,137.5
D,B6679,2,E2B,2/6/2023,2/9/2023,1363,1374,288,140,280,122,274,112.5
B,B6679,3,E2B,2/11/2023,2/14/2023,1381.5,1400,270.5,100.5,290,126,299,141.5
A,B6679,4,E2B,2/16/2023,2/19/2023,1401,1372,339,180.5,297.5,121.5,335,158.5
B,B6677,1,E3C,2/1/2023,2/4/2023,1206,1160,265,141,279,155.5,316,61.5
C,B6677,2,E3C,2/6/2023,2/9/2023,1171,1171,265,63.5,288,178.5,282,174.5
A,B6677,3,E3C,2/11/2023,2/14/2023,1175,1191,317.5,152.5,308.5,144,304.5,119.5
D,B6677,4,E3C,2/16/2023,2/19/2023,1199,1227,270.5,149.5,263.5,142,309,192.5
B,B6680,1,E4D,2/1/2023,2/4/2023,1273,1209,279,155.5,270,116,314,162.5
A,B6680,2,E4D,2/6/2023,2/9/2023,1282,1247,333.5,149,311.5,92.5,323.5,90.5
D,B6680,3,E4D,2/11/2023,2/14/2023,1280,1304,273.5,117,286,136,289.5,136
C,B6680,4,E4D,2/16/2023,2/19/2023,1297,1302.5,280.5,135,287.5,150.5,291.5,167.5
A,B6678,1,E13,2/1/2023,2/4/2023,1291,1219,292.5,146.5,319,149.5,304,127
