Date,Time,TimeStamp,Temp_unit,Temp
2022-02-05,5:10:00,PM,C,16.5
2022-02-05,6:10:00,PM,C,20.5
2022-02-05,7:10:00,PM,C,21.5
2022-02-05,8:10:00,PM,C,17.5
2022-02-05,9:10:00,PM,C,16.5
2022-02-05,10:10:00,PM,C,13
2022-02-05,11:10:00,PM,C,-7
2022-02-06,12:10:00,AM,C,-9.5
2022-02-06,1:10:00,AM,C,-9.5
2022-02-06,2:10:00,AM,C,-9.5
2022-02-06,3:10:00,AM,C,-9
2022-02-06,4:10:00,AM,C,-9
2022-02-06,5:10:00,AM,C,-9
2022-02-06,6:10:00,AM,C,-8.5
2022-02-06,7:10:00,AM,C,-8.5
2022-02-06,8:10:00,AM,C,-8
2022-02-06,9:10:00,AM,C,-8
2022-02-06,10:10:00,AM,C,-8
2022-02-06,11:10:00,AM,C,-8
2022-02-06,12:10:00,PM,C,-8
2022-02-06,1:10:00,PM,C,-7.5
2022-02-06,2:10:00,PM,C,-7
2022-02-06,3:10:00,PM,C,-6.5
2022-02-06,4:10:00,PM,C,-5.5
2022-02-06,5:10:00,PM,C,-5
2022-02-06,6:10:00,PM,C,-4.5
2022-02-06,7:10:00,PM,C,-4.5
2022-02-06,8:10:00,PM,C,-4.5
2022-02-06,9:10:00,PM,C,-4.5
2022-02-06,10:10:00,PM,C,-4.5
2022-02-06,11:10:00,PM,C,-5
2022-02-07,12:10:00,AM,C,-5.5
2022-02-07,1:10:00,AM,C,-6
2022-02-07,2:10:00,AM,C,-7
2022-02-07,3:10:00,AM,C,-7
2022-02-07,4:10:00,AM,C,-7.5
2022-02-07,5:10:00,AM,C,-8
2022-02-07,6:10:00,AM,C,-8.5
2022-02-07,7:10:00,AM,C,-9
2022-02-07,8:10:00,AM,C,-9.5
2022-02-07,9:10:00,AM,C,-10
2022-02-07,10:10:00,AM,C,-10.5
2022-02-07,11:10:00,AM,C,-10.5
2022-02-07,12:10:00,PM,C,-11
2022-02-07,1:10:00,PM,C,-11
2022-02-07,2:10:00,PM,C,-10.5
2022-02-07,3:10:00,PM,C,-9.5
2022-02-07,4:10:00,PM,C,-8.5
2022-02-07,5:10:00,PM,C,-7.5
2022-02-07,6:10:00,PM,C,-7
2022-02-07,7:10:00,PM,C,-6.5
2022-02-07,8:10:00,PM,C,-6.5
2022-02-07,9:10:00,PM,C,-6.5
2022-02-07,10:10:00,PM,C,-6.5
2022-02-07,11:10:00,PM,C,-6.5
2022-02-08,12:10:00,AM,C,-6.5
2022-02-08,1:10:00,AM,C,-6.5
2022-02-08,2:10:00,AM,C,-6.5
2022-02-08,3:10:00,AM,C,-6.5
2022-02-08,4:10:00,AM,C,-7
2022-02-08,5:10:00,AM,C,-7
2022-02-08,6:10:00,AM,C,-7
2022-02-08,7:10:00,AM,C,-7
2022-02-08,8:10:00,AM,C,-7
2022-02-08,9:10:00,AM,C,-7.5
2022-02-08,10:10:00,AM,C,-7.5
2022-02-08,11:10:00,AM,C,-8
2022-02-08,12:10:00,PM,C,-8
2022-02-08,1:10:00,PM,C,-8
2022-02-08,2:10:00,PM,C,-7.5
2022-02-08,3:10:00,PM,C,-6.5
2022-02-08,4:10:00,PM,C,-5.5
2022-02-08,5:10:00,PM,C,-4.5
2022-02-08,6:10:00,PM,C,-4
2022-02-08,7:10:00,PM,C,-4
2022-02-08,8:10:00,PM,C,-4
2022-02-08,9:10:00,PM,C,-4
2022-02-08,10:10:00,PM,C,-4
2022-02-08,11:10:00,PM,C,-4
2022-02-09,12:10:00,AM,C,-4
2022-02-09,1:10:00,AM,C,-4
2022-02-09,2:10:00,AM,C,-4
2022-02-09,3:10:00,AM,C,-4
2022-02-09,4:10:00,AM,C,-4
2022-02-09,5:10:00,AM,C,-4
2022-02-09,6:10:00,AM,C,-3.5
2022-02-09,7:10:00,AM,C,-3.5
2022-02-09,8:10:00,AM,C,-3.5
2022-02-09,9:10:00,AM,C,-3.5
2022-02-09,10:10:00,AM,C,-3.5
2022-02-09,11:10:00,AM,C,-3
2022-02-09,12:10:00,PM,C,-3
2022-02-09,1:10:00,PM,C,-3
2022-02-09,2:10:00,PM,C,-3
2022-02-09,3:10:00,PM,C,-2.5
2022-02-09,4:10:00,PM,C,-2
2022-02-09,5:10:00,PM,C,-1
2022-02-09,6:10:00,PM,C,-0.5
2022-02-09,7:10:00,PM,C,-0.5
2022-02-09,8:10:00,PM,C,-1
2022-02-09,9:10:00,PM,C,-1
2022-02-09,10:10:00,PM,C,-1.5
2022-02-09,11:10:00,PM,C,-1.5
2022-02-10,12:10:00,AM,C,-1.5
2022-02-10,1:10:00,AM,C,-1.5
2022-02-10,2:10:00,AM,C,-1.5
2022-02-10,3:10:00,AM,C,-1.5
2022-02-10,4:10:00,AM,C,-2
2022-02-10,5:10:00,AM,C,-2
2022-02-10,6:10:00,AM,C,-2.5
2022-02-10,7:10:00,AM,C,-4
2022-02-10,8:10:00,AM,C,-5
2022-02-10,9:10:00,AM,C,-6
2022-02-10,10:10:00,AM,C,-7
2022-02-10,11:10:00,AM,C,-8
2022-02-10,12:10:00,PM,C,-8.5
2022-02-10,1:10:00,PM,C,-9
2022-02-10,2:10:00,PM,C,-9.5
2022-02-10,3:10:00,PM,C,-9.5
2022-02-10,4:10:00,PM,C,-9
2022-02-10,5:10:00,PM,C,-8.5
2022-02-10,6:10:00,PM,C,-8.5
